detector,n_streams,rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
PH,500,0.0,SAFFRON,0.05,6,23335,23113,55,6,49,0.10909090909090909,0.0002595941677843638,0.1276595744680851,0.10638297872340426,0.002553191489361702,391666.6666666667,50,49,0.020000000000000018,360.6938775510204,328.0,398.86
PH,500,0.0,alpha-investing,0.05,6,23353,22996,49,2,47,0.04081632653061224,8.697164724299878e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,47,0.06000000000000005,571.2127659574468,565.0,668.86
PH,500,0.0,raw,,7,18384,18320,1773,1723,50,0.9717992103778906,0.09405021834061135,36.659574468085104,1.0,0.7331914893617021,1363.900174114916,50,50,0.0,147.66,107.5,147.66
PH,500,0.0,uncorrected,0.05,7,22650,22562,290,240,50,0.8275862068965517,0.010637354844428685,5.1063829787234045,1.0,0.10212765957446808,9791.666666666666,50,50,0.0,127.66,125.5,127.66
PH,500,0.0,bonferroni,0.05,7,23353,23160,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,301.9387755102041,293.0,335.66
PH,500,0.0,bh_window,0.05,7,23350,23192,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,265.66,251.0,265.66
PH,500,0.0,LOND,0.05,7,23386,22942,39,0,39,0.0,0.0,0.0,0.0,0.0,inf,50,39,0.21999999999999997,518.3846153846154,393.0,837.66
PH,500,0.0,LORD++,0.05,7,23365,23096,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,391.6170212765957,325.0,487.66
PH,500,0.0,SAFFRON,0.05,7,23359,23095,47,1,46,0.02127659574468085,4.3299415457891315e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,46,0.07999999999999996,385.0869565217391,333.5,477.66
PH,500,0.0,alpha-investing,0.05,7,23383,22905,39,2,37,0.05128205128205128,8.731717965509715e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,37,0.26,645.4324324324324,602.0,905.66
PH,500,0.0,raw,,8,18273,18210,1810,1760,50,0.9723756906077348,0.09665019220208676,37.4468085106383,1.0,0.7489361702127659,1335.2272727272727,50,50,0.0,118.32,101.5,118.32
PH,500,0.0,uncorrected,0.05,8,22602,22517,305,255,50,0.8360655737704918,0.01132477683528001,5.425531914893617,0.9574468085106383,0.10851063829787234,9215.686274509804,50,50,0.0,130.32,132.0,130.32
PH,500,0.0,bonferroni,0.05,8,23350,23201,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,252.32,261.0,252.32
PH,500,0.0,bh_window,0.05,8,23347,23214,51,1,50,0.0196078431372549,4.3077453260963214e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,220.32,225.0,220.32
PH,500,0.0,LOND,0.05,8,23359,23078,47,0,47,0.0,0.0,0.0,0.0,0.0,inf,50,47,0.06000000000000005,427.63829787234044,370.0,516.32
PH,500,0.0,LORD++,0.05,8,23350,23183,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,288.32,277.0,288.32
PH,500,0.0,SAFFRON,0.05,8,23335,23156,55,5,50,0.09090909090909091,0.00021592675764380722,0.10638297872340426,0.0851063829787234,0.002127659574468085,470000.0,50,50,0.0,312.32,301.5,312.32
PH,500,0.0,alpha-investing,0.05,8,23356,22971,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,694.1666666666666,630.0,724.32
PH,500,0.0,raw,,9,18232,18168,1811,1761,50,0.9723909442297074,0.09692866578599736,37.46808510638298,1.0,0.7493617021276596,1334.4690516751846,50,50,0.0,126.04,98.5,126.04
PH,500,0.0,uncorrected,0.05,9,22519,22431,332,282,50,0.8493975903614458,0.012571887120502875,6.0,1.0,0.12,8333.333333333334,50,50,0.0,130.04,135.0,130.04
PH,500,0.0,bonferroni,0.05,9,23347,23180,51,1,50,0.0196078431372549,4.3140638481449525e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,50,50,0.0,288.04,268.5,288.04
PH,500,0.0,bh_window,0.05,9,23341,23192,53,3,50,0.05660377358490566,0.00012935494998275268,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,252.04,251.5,252.04
PH,500,0.0,LOND,0.05,9,23365,23006,45,0,45,0.0,0.0,0.0,0.0,0.0,inf,50,45,0.09999999999999998,498.4,392.0,672.04
PH,500,0.0,LORD++,0.05,9,23353,23159,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,326.3673469387755,314.0,342.04
PH,500,0.0,SAFFRON,0.05,9,23344,23153,52,3,49,0.057692307692307696,0.0001295728415324148,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,49,0.020000000000000018,320.2448979591837,292.0,336.04
PH,500,0.0,alpha-investing,0.05,9,23353,23038,49,5,44,0.10204081632653061,0.00021703272853546314,0.10638297872340426,0.06382978723404255,0.002127659574468085,470000.0,50,44,0.12,472.8636363636364,384.5,584.04
PH,500,0.3,raw,,0,17950,17880,1908,1858,50,0.9737945492662474,0.10391498881431767,39.53191489361702,1.0,0.7906382978723404,1264.8008611410119,50,50,0.0,113.32,104.5,113.32
PH,500,0.3,uncorrected,0.05,0,22322,22236,398,348,50,0.8743718592964824,0.015650296815974095,7.404255319148936,0.9148936170212766,0.14808510638297873,6752.873563218391,50,50,0.0,125.32,120.0,125.32
PH,500,0.3,bonferroni,0.05,0,23341,23191,53,3,50,0.05660377358490566,0.00012936052779095338,0.06382978723404255,0.06382978723404255,0.001276595744680851,783333.3333333334,50,50,0.0,243.32,244.0,243.32
PH,500,0.3,bh_window,0.05,0,23338,23202,54,4,50,0.07407407407407407,0.000172398931126627,0.0851063829787234,0.0851063829787234,0.001702127659574468,587500.0,50,50,0.0,215.32,209.0,215.32
PH,500,0.3,LOND,0.05,0,23353,23105,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,408.9387755102041,354.0,439.32
PH,500,0.3,LORD++,0.05,0,23344,23167,52,2,50,0.038461538461538464,8.632969309794104e-05,0.0425531914893617,0.0425531914893617,0.000851063829787234,1175000.0,50,50,0.0,297.32,279.5,297.32
PH,500,0.3,SAFFRON,0.05,0,23338,23171,54,4,50,0.07407407407407407,0.00017262958007854647,0.0851063829787234,0.06382978723404255,0.001702127659574468,587500.0,50,50,0.0,277.32,270.5,277.32
PH,500,0.3,alpha-investing,0.05,0,23329,23087,57,8,49,0.14035087719298245,0.00034651535496166676,0.1702127659574468,0.0851063829787234,0.003404255319148936,293750.0,50,49,0.020000000000000018,415.44897959183675,404.0,427.32
PH,500,0.3,raw,,1,17444,17376,2026,1976,50,0.9753208292201382,0.11372007366482505,42.04255319148936,1.0,0.8408510638297872,1189.2712550607287,50,50,0.0,133.94,108.5,133.94
PH,500,0.3,uncorrected,0.05,1,21659,21573,614,564,50,0.9185667752442996,0.026143790849673203,12.0,0.9148936170212766,0.24,4166.666666666667,50,50,0.0,121.94,113.5,121.94
PH,500,0.3,bonferroni,0.05,1,23326,23192,58,8,50,0.13793103448275862,0.00034494653328734045,0.1702127659574468,0.10638297872340426,0.003404255319148936,293750.0,50,50,0.0,213.94,214.5,213.94
PH,500,0.3,bh_window,0.05,1,23074,22944,142,92,50,0.647887323943662,0.00400976290097629,1.9574468085106382,0.0851063829787234,0.03914893617021276,25543.478260869564,50,50,0.0,205.94,203.5,205.94
PH,500,0.3,LOND,0.05,1,23350,23147,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,351.94,310.5,351.94
PH,500,0.3,LORD++,0.05,1,23320,23174,60,10,50,0.16666666666666666,0.00043151808060757745,0.2127659574468085,0.10638297872340426,0.00425531914893617,235000.0,50,50,0.0,237.94,224.5,237.94
PH,500,0.3,SAFFRON,0.05,1,22471,22311,343,293,50,0.8542274052478134,0.013132535520595222,6.23404255319149,0.10638297872340426,0.12468085106382978,8020.477815699659,50,50,0.0,271.94,265.5,271.94
PH,500,0.3,alpha-investing,0.05,1,23194,22978,102,52,50,0.5098039215686274,0.002263034206632431,1.1063829787234043,0.19148936170212766,0.022127659574468085,45192.307692307695,50,50,0.0,377.94,365.0,377.94
PH,500,0.3,raw,,3,18748,18673,1680,1630,50,0.9702380952380952,0.08729181170674236,34.680851063829785,1.0,0.6936170212765957,1441.717791411043,50,50,0.0,137.34,94.0,137.34
PH,500,0.3,uncorrected,0.05,3,23055,22967,151,101,50,0.6688741721854304,0.004397613967866939,2.148936170212766,0.5957446808510638,0.04297872340425532,23267.326732673268,50,50,0.0,135.34,131.5,135.34
PH,500,0.3,bonferroni,0.05,3,23350,23179,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,293.34,278.0,293.34
PH,500,0.3,bh_window,0.05,3,23350,23193,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,265.34,252.0,265.34
PH,500,0.3,LOND,0.05,3,23396,22785,37,0,37,0.0,0.0,0.0,0.0,0.0,inf,50,37,0.26,733.1351351351351,474.0,1173.34
PH,500,0.3,LORD++,0.05,3,23350,23117,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,417.34,331.0,417.34
PH,500,0.3,SAFFRON,0.05,3,23353,23011,49,0,49,0.0,0.0,0.0,0.0,0.0,inf,50,49,0.020000000000000018,626.6530612244898,454.0,635.34
