case,seed,drift_type,magnitude,rho,pattern,detector,view,rule,false_alarms_per_1k_stream_steps,p_any_false_alarm_per_window,fdp,precision,recall,f1,mean_delay,degraded_per_drift
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,bh_window,0.0,0.0,0.0,0.875,0.7,0.7777777777777777,495.0,885.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(1),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,1935.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bonferroni,0.0,0.0,0.0,0.8571428571428571,0.6,0.7058823529411764,588.4285714285714,1005.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(1),остатки,bh_window,0.002127659574468085,0.02127659574468085,0.125,0.75,0.6,0.6666666666666665,559.8571428571429,985.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,uncorrected,0.15106382978723404,0.7659574468085106,0.8765432098765432,0.12345679012345678,1.0,0.21978021978021975,305.5,305.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bonferroni,0.00425531914893617,0.0425531914893617,0.16666666666666666,0.75,0.9,0.8181818181818182,525.5,525.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,bh_window,0.00425531914893617,0.0425531914893617,0.16666666666666666,0.8333333333333334,1.0,0.9090909090909091,515.5,515.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(3),сырые,LORD++,0.0,0.0,0.0,,0.0,0.0,,1935.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bonferroni,0.00425531914893617,0.0425531914893617,0.18181818181818182,0.6363636363636364,0.7,0.6666666666666666,529.7777777777778,625.5
"abrupt, Δ=0.5, ρ=0, scattered",1000,abrupt,0.5,0.0,scattered,MeanShift(3),остатки,bh_window,0.00425531914893617,0.0425531914893617,0.16666666666666666,0.8333333333333334,1.0,0.9090909090909091,375.5,375.5
