scenario,rho,seed,method,false_alarms,fdp,p_any_false_alarm_per_window,max_burst,degraded_per_drift,fleet_true,fleet_false
"событие, 20% моделей",0.6,4,остатки,0,0.0,0.0,0,170.5,0,0
"событие, 20% моделей",0.6,4,остатки + тест парка,0,0.0,0.0,0,170.5,0,0
"событие, 20% моделей",0.6,5,сырые ряды,0,0.0,0.0,0,246.5,0,0
"событие, 20% моделей",0.6,5,остатки,1,0.024390243902439025,0.02127659574468085,1,184.0,0,0
"событие, 20% моделей",0.6,5,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,184.0,0,0
"событие, 20% моделей",0.6,6,сырые ряды,0,0.0,0.0,0,283.5,0,0
"событие, 20% моделей",0.6,6,остатки,1,0.024390243902439025,0.02127659574468085,1,198.5,0,0
"событие, 20% моделей",0.6,6,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,198.5,0,0
"событие, 20% моделей",0.6,7,сырые ряды,0,0.0,0.0,0,191.5,0,0
"событие, 20% моделей",0.6,7,остатки,1,0.024390243902439025,0.02127659574468085,1,199.0,0,0
"событие, 20% моделей",0.6,7,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,199.0,0,1
"событие, 20% моделей",0.6,8,сырые ряды,0,0.0,0.0,0,228.5,0,0
"событие, 20% моделей",0.6,8,остатки,2,0.047619047619047616,0.0425531914893617,1,186.0,0,0
"событие, 20% моделей",0.6,8,остатки + тест парка,2,0.047619047619047616,0.0425531914893617,1,186.0,0,0
"событие, 20% моделей",0.6,9,сырые ряды,1,0.024390243902439025,0.02127659574468085,1,305.0,0,0
"событие, 20% моделей",0.6,9,остатки,1,0.024390243902439025,0.02127659574468085,1,197.5,0,0
"событие, 20% моделей",0.6,9,остатки + тест парка,1,0.024390243902439025,0.02127659574468085,1,197.5,0,0
"событие, все модели",0.3,0,сырые ряды,0,0.0,0.0,0,207.0,0,0
"событие, все модели",0.3,0,остатки,0,0.0,0.0,0,2174.5,0,0
"событие, все модели",0.3,0,остатки + тест парка,0,0.0,0.0,0,178.0,1,0
"событие, все модели",0.3,1,сырые ряды,3,0.014778325123152709,0.06382978723404255,1,208.0,0,0
"событие, все модели",0.3,1,остатки,0,0.0,0.0,0,2551.5,0,0
"событие, все модели",0.3,1,остатки + тест парка,0,0.0,0.0,0,64.0,1,0
"событие, все модели",0.3,2,сырые ряды,1,0.004975124378109453,0.02127659574468085,1,243.0,0,0
"событие, все модели",0.3,2,остатки,0,0.0,0.0,0,3017.0,0,0
"событие, все модели",0.3,2,остатки + тест парка,0,0.0,0.0,0,117.0,1,0
"событие, все модели",0.3,3,сырые ряды,0,0.0,0.0,0,272.0,0,0
"событие, все модели",0.3,3,остатки,0,0.0,0.0,0,3008.5,0,0
"событие, все модели",0.3,3,остатки + тест парка,0,0.0,0.0,0,114.0,1,0
"событие, все модели",0.3,4,сырые ряды,0,0.0,0.0,0,235.0,0,0
"событие, все модели",0.3,4,остатки,0,0.0,0.0,0,1105.0,0,0
"событие, все модели",0.3,4,остатки + тест парка,0,0.0,0.0,0,110.0,1,0
"событие, все модели",0.3,5,сырые ряды,0,0.0,0.0,0,260.5,0,0
"событие, все модели",0.3,5,остатки,0,0.0,0.0,0,3097.0,0,0
"событие, все модели",0.3,5,остатки + тест парка,0,0.0,0.0,0,197.0,1,0
"событие, все модели",0.3,6,сырые ряды,0,0.0,0.0,0,233.5,0,0
"событие, все модели",0.3,6,остатки,0,0.0,0.0,0,1689.0,0,0
"событие, все модели",0.3,6,остатки + тест парка,0,0.0,0.0,0,89.0,1,0
"событие, все модели",0.3,7,сырые ряды,0,0.0,0.0,0,210.5,0,0
"событие, все модели",0.3,7,остатки,0,0.0,0.0,0,1357.0,0,0
