detector,config,seed,fwer,far@1e-3,far@1e-4
ADWIN,"B=2000, exp",21,0.14893617021276595,0.0031914893617021275,0.0
ADWIN,"B=2000, exp",22,0.0851063829787234,0.0027659574468085106,0.0002127659574468085
ADWIN,"B=2000, exp",23,0.2553191489361702,0.0031914893617021275,0.0010638297872340426
ADWIN,"B=2000, exp",24,0.14893617021276595,0.0031914893617021275,0.0002127659574468085
ADWIN,"B=2000, exp",25,0.1276595744680851,0.002553191489361702,0.000425531914893617
ADWIN,"B=2000, exp",26,0.02127659574468085,0.000851063829787234,0.0
ADWIN,"B=2000, exp",27,0.19148936170212766,0.0029787234042553193,0.000425531914893617
ADWIN,"B=2000, exp",28,0.23404255319148937,0.005106382978723404,0.0010638297872340426
ADWIN,"B=2000, exp",29,0.5106382978723404,0.006595744680851064,0.0031914893617021275
ADWIN,"B=2000, GPD",0,0.14893617021276595,0.0031914893617021275,0.0006382978723404255
ADWIN,"B=2000, GPD",1,0.06382978723404255,0.0006382978723404255,0.0002127659574468085
ADWIN,"B=2000, GPD",2,0.19148936170212766,0.004042553191489362,0.000425531914893617
ADWIN,"B=2000, GPD",3,0.3404255319148936,0.00574468085106383,0.0014893617021276596
ADWIN,"B=2000, GPD",4,0.2127659574468085,0.0031914893617021275,0.0002127659574468085
ADWIN,"B=2000, GPD",5,0.14893617021276595,0.0027659574468085106,0.0002127659574468085
ADWIN,"B=2000, GPD",6,0.06382978723404255,0.001276595744680851,0.0002127659574468085
ADWIN,"B=2000, GPD",7,0.0,0.0006382978723404255,0.0
ADWIN,"B=2000, GPD",9,0.0851063829787234,0.0014893617021276596,0.0006382978723404255
ADWIN,"B=2000, GPD",8,0.2127659574468085,0.0031914893617021275,0.0
ADWIN,"B=2000, GPD",11,0.06382978723404255,0.0031914893617021275,0.000425531914893617
ADWIN,"B=2000, GPD",10,0.0425531914893617,0.0010638297872340426,0.0
ADWIN,"B=2000, GPD",12,0.10638297872340426,0.001702127659574468,0.0002127659574468085
ADWIN,"B=2000, GPD",13,0.0,0.0,0.0
ADWIN,"B=2000, GPD",15,0.14893617021276595,0.002127659574468085,0.0002127659574468085
