part,tolerance,shift,reject
A,0.0,0.5401875389450189,True
A,0.0,0.738701536916902,True
A,0.0,0.5230287334823139,True
A,0.0,0.9402868389162482,True
A,0.0,0.5711236930604888,True
A,0.0,0.8782076532913922,True
A,0.0,0.4624088719955435,True
A,0.0,0.2946299387596214,True
A,0.0,0.6801816346580534,True
A,0.0,0.3283975966957101,True
A,0.0,0.0,False
A,0.0,0.5571953522738751,True
A,0.0,0.6250245768336146,True
A,0.0,0.17515764798200495,True
A,0.0,0.052694166910901674,True
A,0.0,0.09884327098746981,False
A,0.0,0.9078988279221801,True
A,0.0,0.8311831463834503,True
