case,seed,method,false_alarms,p_false_alarm_per_100_steps,mean_delay,degraded_per_drift,missed,f1,us_per_model_step
"gradual, Δ=1, ρ=0",1,"e-CUSUM, окно 100",2,0.0425531914893617,486.9,486.9,0.0,0.9090909090909092,2.084097296000664
"gradual, Δ=1, ρ=0.6",0,"PH, окно 100",0,0.0,484.0,484.0,0.0,1.0,1.77100463799934
"gradual, Δ=1, ρ=0.6",0,"MeanShift(3), окно 100",1,0.0212765957446808,484.0,484.0,0.0,0.9090909090909092,1.5180370839993884
"gradual, Δ=1, ρ=0.6",0,"PH, окно 25",0,0.0,504.0,504.0,0.0,1.0,5.251680242001612
"gradual, Δ=1, ρ=0.6",0,"PH + AR, окно 100",0,0.0,484.0,484.0,0.0,1.0,1.8817484939988844
"gradual, Δ=1, ρ=0.6",0,"PH + AR, окно 25",0,0.0,519.0,519.0,0.0,1.0,5.732444457999918
"gradual, Δ=1, ρ=0.6",0,"e-CUSUM, окно 100",0,0.0,454.0,454.0,0.0,1.0,1.942725315999269
"gradual, Δ=1, ρ=0.6",1,"MeanShift(3), окно 100",17,0.1276595744680851,446.9,446.9,0.0,0.5405405405405406,1.541557175998605
"gradual, Δ=1, ρ=0.6",1,"PH, окно 100",11,0.1702127659574468,386.9,386.9,0.0,0.6451612903225806,1.7820339240001886
"gradual, Δ=1, ρ=0.6",1,"PH + AR, окно 100",11,0.1914893617021276,406.9,406.9,0.0,0.6451612903225806,1.973128583997777
"gradual, Δ=1, ρ=0.6",1,"PH, окно 25",7,0.1063829787234042,394.4,394.4,0.0,0.7407407407407407,5.234991283998397
"gradual, Δ=1, ρ=0.6",1,"PH + AR, окно 25",6,0.1063829787234042,401.9,401.9,0.0,0.7692307692307693,6.405104539998547
"no drift, ρ=0",0,"PH, окно 100",0,0.0,,,,,1.6854591260000689
"no drift, ρ=0",0,"MeanShift(3), окно 100",0,0.0,,,,,1.569876789998034
"gradual, Δ=1, ρ=0.6",1,"e-CUSUM, окно 100",27,0.1914893617021276,356.9,356.9,0.0,0.4166666666666667,2.2228468080011226
"no drift, ρ=0",0,"PH + AR, окно 100",0,0.0,,,,,1.8584489839954583
"no drift, ρ=0",0,"PH, окно 25",0,0.0,,,,,5.104495550001502
"no drift, ρ=0",0,"PH + AR, окно 25",0,0.0,,,,,6.115592134001417
"no drift, ρ=0",1,"MeanShift(3), окно 100",1,0.0212765957446808,,,,,1.4129775699989295
"no drift, ρ=0",1,"PH, окно 100",1,0.0212765957446808,,,,,2.0016401979992224
"no drift, ρ=0",0,"e-CUSUM, окно 100",0,0.0,,,,,2.0731490479997774
"no drift, ρ=0",1,"PH + AR, окно 100",1,0.0212765957446808,,,,,1.814719127999524
"no drift, ρ=0",1,"PH, окно 25",0,0.0,,,,,3.8835071860007706
"no drift, ρ=0",1,"PH + AR, окно 25",1,0.0212765957446808,,,,,5.882711356000527
"no drift, ρ=0",1,"e-CUSUM, окно 100",3,0.0638297872340425,,,,,2.095510066002589
"no drift, ρ=0",2,"PH, окно 100",1,0.0212765957446808,,,,,1.9605192579979305
"no drift, ρ=0",2,"MeanShift(3), окно 100",2,0.0425531914893617,,,,,1.4533424700002795
"no drift, ρ=0",2,"PH + AR, окно 100",1,0.0212765957446808,,,,,2.036816810001256
"no drift, ρ=0",2,"PH, окно 25",1,0.0212765957446808,,,,,4.519077307999396
"no drift, ρ=0",2,"PH + AR, окно 25",1,0.0212765957446808,,,,,5.990473863998432
"no drift, ρ=0",2,"e-CUSUM, окно 100",0,0.0,,,,,1.966338164001172
"no drift, ρ=0",3,"PH, окно 100",0,0.0,,,,,1.715898967999692
"no drift, ρ=0",3,"MeanShift(3), окно 100",1,0.0212765957446808,,,,,1.4274599120035418
"no drift, ρ=0",3,"PH, окно 25",0,0.0,,,,,5.470743478002987
"no drift, ρ=0",3,"PH + AR, окно 100",0,0.0,,,,,1.8970950780008025
"no drift, ρ=0",3,"PH + AR, окно 25",0,0.0,,,,,5.688780884000607
"no drift, ρ=0",3,"e-CUSUM, окно 100",0,0.0,,,,,2.103237308000189
"no drift, ρ=0",4,"MeanShift(3), окно 100",0,0.0,,,,,1.453715211999679
"no drift, ρ=0",4,"PH, окно 100",0,0.0,,,,,1.6846084240000891
"no drift, ρ=0",4,"PH, окно 25",0,0.0,,,,,4.820347765999031
"no drift, ρ=0",4,"PH + AR, окно 100",0,0.0,,,,,1.8092419940016955
"no drift, ρ=0",4,"PH + AR, окно 25",0,0.0,,,,,6.098175631998856
"no drift, ρ=0",5,"PH, окно 100",1,0.0212765957446808,,,,,1.6831898500004172
"no drift, ρ=0",5,"MeanShift(3), окно 100",1,0.0212765957446808,,,,,1.4623118960021202
"no drift, ρ=0",4,"e-CUSUM, окно 100",2,0.0425531914893617,,,,,1.970845022003232
"no drift, ρ=0",5,"PH, окно 25",1,0.0212765957446808,,,,,5.130207745999542
"no drift, ρ=0",5,"PH + AR, окно 100",1,0.0212765957446808,,,,,2.009094354003537
"no drift, ρ=0",5,"PH + AR, окно 25",1,0.0212765957446808,,,,,6.145313661997989
"no drift, ρ=0",5,"e-CUSUM, окно 100",2,0.0425531914893617,,,,,2.172476697998718
"no drift, ρ=0.6",0,"MeanShift(3), окно 100",2,0.0425531914893617,,,,,1.5152877040018211
"no drift, ρ=0.6",0,"PH, окно 100",0,0.0,,,,,1.5764119979990028
"no drift, ρ=0.6",0,"PH + AR, окно 100",0,0.0,,,,,1.877212211996266
