n_streams,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,uncorrected,0.001,1,23203,23093,99,49,50,0.494949494949495,0.002121855107608366,1.0425531914893618,0.3617021276595745,0.020851063829787235,47959.183673469386,50,50,0.0,165.94,167.5,165.94
500,uncorrected,0.01,1,22657,22554,281,231,50,0.8220640569395018,0.010242085661080074,4.914893617021277,0.7021276595744681,0.09829787234042553,10173.160173160173,50,50,0.0,157.94,126.5,157.94
500,uncorrected,0.05,1,21659,21573,614,564,50,0.9185667752442996,0.026143790849673203,12.0,0.9148936170212766,0.24,4166.666666666667,50,50,0.0,121.94,113.5,121.94
500,uncorrected,0.1,1,20871,20791,877,827,50,0.942987457240593,0.03977682651147131,17.595744680851062,0.8936170212765957,0.3519148936170213,2841.596130592503,50,50,0.0,113.94,105.5,113.94
500,uncorrected,0.2,1,19150,19075,1453,1403,50,0.9655884377150723,0.07355176933158585,29.851063829787233,0.9361702127659575,0.5970212765957447,1674.9821810406272,50,50,0.0,133.94,113.5,133.94
500,bh_window,0.0001,1,23356,23118,48,0,48,0.0,0.0,0.0,0.0,0.0,inf,50,48,0.040000000000000036,359.4583333333333,342.5,421.94
500,bh_window,0.001,1,23350,23169,50,0,50,0.0,0.0,0.0,0.0,0.0,inf,50,50,0.0,307.94,300.5,307.94
500,bh_window,0.01,1,23332,23189,56,6,50,0.10714285714285714,0.0002587433697011514,0.1276595744680851,0.06382978723404255,0.002553191489361702,391666.6666666667,50,50,0.0,231.94,223.0,231.94
500,bh_window,0.05,1,23074,22944,142,92,50,0.647887323943662,0.00400976290097629,1.9574468085106382,0.0851063829787234,0.03914893617021276,25543.478260869564,50,50,0.0,205.94,203.5,205.94
500,bh_window,0.1,1,22987,22857,171,122,49,0.7134502923976608,0.005337533359583498,2.595744680851064,0.10638297872340426,0.05191489361702128,19262.29508196721,50,49,0.020000000000000018,190.46938775510205,195.0,211.94
