case,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,mdr,mean_delay,mtr,fdp
"gradual, Δ=0.5",bonferroni,0.001,0.0,1915.8333333333333,0.7166666666666667,1299.8138888888889,inf,0.0
"gradual, Δ=0.5",bonferroni,0.01,0.0007092198581560284,1512.5,0.45,940.2934523809523,inf,0.044642857142857144
"gradual, Δ=0.5",bonferroni,0.05,0.0035460992907801418,1234.1666666666667,0.2833333333333333,932.1620370370371,inf,0.125
"gradual, Δ=0.5",bonferroni,0.1,0.006382978723404255,1095.8333333333333,0.19999999999999998,860.6527777777778,inf,0.19515107212475633
"gradual, Δ=0.5",uncorrected,1e-05,0.0,1915.8333333333333,0.7166666666666667,1299.8138888888889,inf,0.0
"gradual, Δ=0.5",uncorrected,0.0001,0.0007092198581560284,1512.5,0.45,940.2934523809523,inf,0.044642857142857144
"gradual, Δ=0.5",uncorrected,0.001,0.006382978723404255,1095.8333333333333,0.19999999999999998,860.6527777777778,inf,0.19515107212475633
"gradual, Δ=0.5",uncorrected,0.01,0.04645390070921986,669.1666666666666,0.033333333333333326,634.4759259259259,55.698193702199916,0.5973744838393783
"gradual, Δ=0.5",uncorrected,0.05,0.1276595744680851,504.1666666666667,0.0,504.1666666666667,19.649289869926776,0.8037357812758977
"gradual, Δ=0.5",uncorrected,0.1,0.23900709219858154,427.5,0.0,427.5,11.419510904544389,0.8745491109396304
"gradual, Δ=1",LORD++,1e-05,0.0,1954.1666666666667,0.7333333333333334,1247.1309523809523,inf,0.0
"gradual, Δ=1",LORD++,0.0001,0.0,1764.1666666666667,0.5499999999999999,1076.83,inf,0.0
"gradual, Δ=1",LORD++,0.001,0.0,1134.1666666666667,0.18333333333333335,842.5129629629629,inf,0.0
"gradual, Δ=1",LORD++,0.01,0.0,814.1666666666666,0.06666666666666667,762.4626984126984,inf,0.0
"gradual, Δ=1",LORD++,0.05,0.0003546099290780142,655.8333333333334,0.016666666666666663,649.0888888888888,inf,0.015151515151515152
"gradual, Δ=1",LORD++,0.1,0.0010638297872340426,612.5,0.0,612.5,inf,0.04292929292929293
"gradual, Δ=1",bh_window,1e-05,0.0,1287.5,0.3,978.8657407407408,inf,0.0
"gradual, Δ=1",bh_window,0.0001,0.0,904.1666666666666,0.11666666666666665,745.3902777777777,inf,0.0
