rho,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
0.0,bonferroni,0.05,9,9340,9285,20,0,20,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,inf,20,20,0.0,213.4,203.0,213.4,inf
0.0,bh_window,0.05,9,9340,9287,20,0,20,0.0,0.0,0.0,0.37735849056603776,0.0,0.0,0.0,inf,20,20,0.0,203.4,202.5,203.4,inf
0.0,e_bh,0.05,9,9367,9135,11,0,11,0.0,0.0,0.0,0.04741379310344827,0.0,0.0,0.0,inf,20,11,0.44999999999999996,533.1818181818181,418.0,1098.4,inf
0.3,uncorrected,0.05,1,8674,8646,242,222,20,0.9173553719008265,0.6879593810444875,0.025676613462873005,0.7142857142857143,4.723404255319149,0.7446808510638298,0.23617021276595745,4234.2342342342345,20,20,0.0,116.9,99.0,116.9,36.22099430482664
0.3,bonferroni,0.05,1,9322,9276,26,6,20,0.23076923076923078,0.09574468085106383,0.000646830530401035,0.43478260869565216,0.1276595744680851,0.1276595744680851,0.006382978723404255,156666.66666666666,20,20,0.0,191.9,188.5,191.9,816.3974292166058
0.3,bh_window,0.05,1,9232,9190,56,36,20,0.6428571428571429,0.11187943262411347,0.003917301414581066,0.47619047619047616,0.7659574468085106,0.1276595744680851,0.03829787234042553,26111.11111111111,20,20,0.0,171.9,169.0,171.9,151.89709779587614
0.3,e_bh,0.05,1,9346,9228,18,0,18,0.0,0.0,0.0,0.15254237288135594,0.0,0.0,0.0,inf,20,18,0.09999999999999998,494.05555555555554,362.5,551.9,inf
0.3,uncorrected,0.05,4,9190,9155,72,52,20,0.7222222222222222,0.43971631205673756,0.0056799563080283996,0.5714285714285714,1.1063829787234043,0.48936170212765956,0.05531914893617021,18076.923076923078,20,20,0.0,136.65,142.0,136.65,132.28630133130682
0.3,bonferroni,0.05,4,9340,9279,20,0,20,0.0,0.0,0.0,0.32786885245901637,0.0,0.0,0.0,inf,20,20,0.0,266.65,259.0,266.65,inf
0.3,bh_window,0.05,4,9340,9284,20,0,20,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,inf,20,20,0.0,241.65,242.0,241.65,inf
0.3,e_bh,0.05,4,9358,9061,14,0,14,0.0,0.0,0.0,0.04713804713804714,0.0,0.0,0.0,inf,20,14,0.30000000000000004,1095.357142857143,1087.5,1446.65,inf
0.3,uncorrected,0.05,3,9105,9069,100,80,20,0.8,0.40780141843971623,0.008821259234755761,0.5555555555555556,1.702127659574468,0.44680851063829785,0.0851063829787234,11750.0,20,20,0.0,130.5,131.5,130.5,90.03831417624521
0.3,bonferroni,0.05,3,9334,9276,22,2,20,0.09090909090909091,0.031914893617021274,0.00021561017680034498,0.3448275862068966,0.0425531914893617,0.0425531914893617,0.002127659574468085,470000.0,20,20,0.0,240.5,231.5,240.5,1954.2619542619543
0.3,bh_window,0.05,3,9334,9278,22,2,20,0.09090909090909091,0.031914893617021274,0.0002155636990730761,0.35714285714285715,0.0425531914893617,0.0425531914893617,0.002127659574468085,470000.0,20,20,0.0,230.5,225.0,230.5,2039.0455531453363
0.3,e_bh,0.05,3,9374,9042,9,0,9,0.0,0.0,0.0,0.02710843373493976,0.0,0.0,0.0,inf,20,9,0.55,549.3333333333334,425.0,1610.5,inf
0.3,uncorrected,0.05,2,8975,8944,158,138,20,0.8734177215189873,0.6420932912171962,0.015429338103756709,0.6451612903225806,2.9361702127659575,0.723404255319149,0.14680851063829786,6811.594202898551,20,20,0.0,100.2,106.5,100.2,67.97998206485579
0.3,bonferroni,0.05,2,9340,9288,20,0,20,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,inf,20,20,0.0,205.2,206.5,205.2,inf
0.3,bh_window,0.05,2,9331,9280,23,3,20,0.13043478260869565,0.02127659574468085,0.0003232758620689655,0.39215686274509803,0.06382978723404255,0.0425531914893617,0.0031914893617021275,313333.3333333333,20,20,0.0,200.2,188.5,200.2,1565.101565101565
0.3,e_bh,0.05,2,9357,9151,15,0,15,0.0,0.0,0.0,0.07281553398058252,0.0,0.0,0.0,inf,20,15,0.25,605.5333333333333,472.0,975.2,inf
0.3,uncorrected,0.05,5,8889,8856,171,151,20,0.8830409356725146,0.6401215805471124,0.017050587172538392,0.6060606060606061,3.2127659574468086,0.723404255319149,0.16063829787234044,6225.165562913908,20,20,0.0,130.65,122.5,130.65,47.64765069203144
0.3,bonferroni,0.05,5,9340,9285,20,0,20,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,inf,20,20,0.0,215.65,221.0,215.65,inf
0.3,bh_window,0.05,5,9334,9281,22,2,20,0.09090909090909091,0.017730496453900707,0.00021549402004094386,0.37735849056603776,0.0425531914893617,0.0425531914893617,0.002127659574468085,470000.0,20,20,0.0,205.65,216.0,205.65,2285.436421103817
0.3,e_bh,0.05,5,9349,9173,17,0,17,0.0,0.0,0.0,0.09659090909090909,0.0,0.0,0.0,inf,20,17,0.15000000000000002,673.5882352941177,403.0,820.65,inf
0.3,uncorrected,0.05,6,9086,9050,107,87,20,0.8130841121495327,0.5475177304964539,0.009613259668508288,0.5555555555555556,1.851063829787234,0.6382978723404256,0.0925531914893617,10804.597701149425,20,20,0.0,128.8,138.5,128.8,83.88662811451417
0.3,bonferroni,0.05,6,9340,9279,20,0,20,0.0,0.0,0.0,0.32786885245901637,0.0,0.0,0.0,inf,20,20,0.0,253.8,253.0,253.8,inf
0.3,bh_window,0.05,6,9340,9281,20,0,20,0.0,0.0,0.0,0.3389830508474576,0.0,0.0,0.0,inf,20,20,0.0,243.8,251.0,243.8,inf
0.3,e_bh,0.05,6,9370,9038,10,0,10,0.0,0.0,0.0,0.030120481927710843,0.0,0.0,0.0,inf,20,10,0.5,1219.2,1012.0,1608.8,inf
0.3,uncorrected,0.05,8,9109,9070,97,77,20,0.7938144329896907,0.5305724417426545,0.008489525909592061,0.5128205128205128,1.6382978723404256,0.6382978723404256,0.08191489361702127,12207.792207792209,20,20,0.0,135.85,131.0,135.85,89.86229081922863
0.3,bonferroni,0.05,8,9337,9278,21,1,20,0.047619047619047616,0.02127659574468085,0.00010778184953653804,0.3389830508474576,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,235.85,253.0,235.85,3985.5840576637693
0.3,bh_window,0.05,8,9334,9280,22,2,20,0.09090909090909091,0.010638297872340425,0.00021551724137931034,0.37037037037037035,0.0425531914893617,0.02127659574468085,0.002127659574468085,470000.0,20,20,0.0,210.85,222.0,210.85,2229.072800569125
0.3,e_bh,0.05,8,9367,9056,11,0,11,0.0,0.0,0.0,0.03536977491961415,0.0,0.0,0.0,inf,20,11,0.44999999999999996,959.7272727272727,430.0,1495.85,inf
0.3,uncorrected,0.05,7,8832,8800,190,170,20,0.8947368421052632,0.675324508465119,0.019318181818181818,0.625,3.617021276595745,0.7446808510638298,0.18085106382978725,5529.411764705882,20,20,0.0,113.35,112.0,113.35,48.78175354835361
0.3,bonferroni,0.05,7,9337,9285,21,1,20,0.047619047619047616,0.02127659574468085,0.00010770059235325795,0.38461538461538464,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,213.35,202.5,213.35,4405.905788610265
0.3,bh_window,0.05,7,9337,9288,21,1,20,0.047619047619047616,0.02127659574468085,0.00010766580534022394,0.40816326530612246,0.02127659574468085,0.02127659574468085,0.0010638297872340426,940000.0,20,20,0.0,198.35,202.5,198.35,4739.097554827325
0.3,e_bh,0.05,7,9361,9129,13,0,13,0.0,0.0,0.0,0.05603448275862069,0.0,0.0,0.0,inf,20,13,0.35,631.3076923076923,435.0,1113.35,inf
0.3,uncorrected,0.05,9,9121,9087,93,73,20,0.7849462365591398,0.47429078014184395,0.008033454385385715,0.5882352941176471,1.553191489361702,0.5319148936170213,0.07765957446808511,12876.712328767124,20,20,0.0,108.4,108.5,108.4,118.78885912146792
0.3,bonferroni,0.05,9,9340,9284,20,0,20,0.0,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,inf,20,20,0.0,218.4,216.0,218.4,inf
0.3,bh_window,0.05,9,9340,9287,20,0,20,0.0,0.0,0.0,0.37735849056603776,0.0,0.0,0.0,inf,20,20,0.0,203.4,202.5,203.4,inf
