n_streams,scenario,procedure,alpha,false_alarms_per_1k_stream_steps,degraded_per_drift,fdp,window_fdp,mdr,mean_delay
100,2 events,bonferroni,0.001,0.0,401.5,0.0,0.0,0.01666666666666668,372.41228070175436
100,2 events,bonferroni,0.01,0.0010638297872340426,284.8333333333333,0.022727272727272724,0.0070921985815602835,0.00833333333333334,262.890350877193
100,2 events,bonferroni,0.05,0.004609929078014184,216.5,0.0827486689555655,0.03679078014184397,0.0,216.5
100,2 events,bonferroni,0.1,0.006382978723404255,224.83333333333334,0.11006478327656448,0.050088652482269506,0.00833333333333334,202.75877192982455
100,2 events,bonferroni,0.2,0.009929078014184396,209.0,0.1628567510920452,0.08037825059101655,0.00833333333333334,186.75
100,2 events,storey_bh,1e-05,0.0,861.5,0.0,0.0,0.19166666666666665,527.031775210084
100,2 events,storey_bh,0.0001,0.0,529.0,0.0,0.0,0.0666666666666667,413.06140350877195
100,2 events,storey_bh,0.001,0.0007092198581560284,296.5,0.015151515151515152,0.003868471953578336,0.00833333333333334,290.2061403508772
100,2 events,storey_bh,0.01,0.007446808510638298,241.5,0.1119047619047619,0.020200986956306104,0.00833333333333334,219.51315789473685
100,2 events,storey_bh,0.05,0.04113475177304965,171.5,0.3491343300780687,0.03716016548463357,0.0,171.5
100,2 events,storey_bh,0.1,0.09999999999999999,167.33333333333334,0.5136559887933353,0.047062820442335535,0.0,167.33333333333334
100,2 events,storey_bh,0.2,0.18191489361702126,165.66666666666666,0.6189110783815578,0.06793316819454016,0.0,165.66666666666666
100,2 events,uncorrected,1e-05,0.0,406.5,0.0,0.0,0.01666666666666668,377.41228070175436
100,2 events,uncorrected,0.0001,0.0010638297872340426,284.8333333333333,0.022727272727272724,0.0070921985815602835,0.00833333333333334,262.890350877193
100,2 events,uncorrected,0.001,0.006382978723404255,224.83333333333334,0.11006478327656448,0.046542553191489366,0.00833333333333334,202.75877192982455
100,2 events,uncorrected,0.01,0.038652482269503546,152.33333333333334,0.423324417423552,0.21869019475402451,0.0,152.33333333333334
100,2 events,uncorrected,0.05,0.12836879432624113,135.66666666666666,0.7133965199130824,0.4677487898232579,0.0,135.66666666666666
100,2 events,uncorrected,0.1,0.2304964539007092,124.0,0.8314564322776884,0.6537985195888166,0.0,124.0
100,2 events,uncorrected,0.2,0.4535460992907801,114.83333333333333,0.9127747754754285,0.8229116136031029,0.0,114.83333333333333
100,sporadic,BatchBH,1e-05,0.0,1897.6583333333335,0.0,0.0,0.7833333333333333,774.2314814814814
100,sporadic,BatchBH,0.0001,0.0,1571.825,0.0,0.0,0.5833333333333334,745.312962962963
100,sporadic,BatchBH,0.001,0.0,1162.6583333333333,0.0,0.0,0.35000000000000003,716.7111807296018
100,sporadic,BatchBH,0.01,0.0,687.6583333333333,0.0,0.0,0.13333333333333333,475.11433966861597
100,sporadic,BatchBH,0.05,0.0,503.4916666666666,0.0,0.0,0.05000000000000001,390.6927674578603
100,sporadic,BatchBH,0.1,0.0,443.4916666666666,0.0,0.0,0.01666666666666668,402.7684210526316
100,sporadic,BatchBH,0.2,0.0007092198581560284,350.9916666666666,0.015873015873015872,0.0070921985815602835,0.00833333333333334,327.7767543859649
100,sporadic,LORD++,1e-05,0.0,1548.4916666666668,0.0,0.0,0.5583333333333333,994.9592320261437
100,sporadic,LORD++,0.0001,0.0,1223.4916666666666,0.0,0.0,0.35000000000000003,844.1604114452798
100,sporadic,LORD++,0.001,0.0,745.1583333333333,0.0,0.0,0.16666666666666666,485.58366268234687
100,sporadic,LORD++,0.01,0.0,429.325,0.0,0.0,0.025000000000000005,381.9667641325536
100,sporadic,LORD++,0.05,0.0014184397163120568,311.825,0.031024531024531024,0.008274231678486997,0.0,311.825
100,sporadic,LORD++,0.1,0.002482269503546099,274.325,0.049206349206349205,0.008274231678486997,0.0,274.325
100,sporadic,LORD++,0.2,0.003900709219858156,257.65833333333336,0.06687565308254964,0.011482607227288078,0.0,257.65833333333336
100,sporadic,bh_window,1e-05,0.0,1102.6583333333333,0.0,0.0,0.3,769.631837314732
100,sporadic,bh_window,0.0001,0.0,684.3249999999999,0.0,0.0,0.14166666666666666,462.7282285575049
100,sporadic,bh_window,0.001,0.0,414.325,0.0,0.0,0.01666666666666668,372.1543859649123
100,sporadic,bh_window,0.01,0.0010638297872340426,247.65833333333333,0.023088023088023088,0.0065011820330969266,0.0,247.65833333333333
100,sporadic,bh_window,0.05,0.00673758865248227,213.49166666666667,0.10245310245310245,0.025354609929078013,0.0,213.49166666666667
100,sporadic,bh_window,0.1,0.015248226950354611,192.65833333333333,0.1927151331913237,0.044072948328267476,0.0,192.65833333333333
100,sporadic,bh_window,0.2,0.04574468085106383,168.49166666666667,0.3655838820831647,0.07799729821006417,0.0,168.49166666666667
100,sporadic,bonferroni,1e-05,0.0,1205.9916666666666,0.0,0.0,0.375,729.3891534391533
100,sporadic,bonferroni,0.0001,0.0,766.8249999999999,0.0,0.0,0.17500000000000004,495.91558061821223
100,sporadic,bonferroni,0.001,0.0,470.9916666666666,0.0,0.0,0.03333333333333335,403.3344685242518
100,sporadic,bonferroni,0.01,0.0007092198581560284,265.9916666666667,0.015873015873015872,0.0070921985815602835,0.0,265.9916666666667
100,sporadic,bonferroni,0.05,0.002127659574468085,219.32500000000002,0.04126984126984127,0.014184397163120567,0.0,219.32500000000002
100,sporadic,bonferroni,0.1,0.004964539007092199,203.49166666666667,0.0959735380025235,0.03687943262411347,0.0,203.49166666666667
100,sporadic,bonferroni,0.2,0.01099290780141844,188.49166666666667,0.18335161570455685,0.0877659574468085,0.0,188.49166666666667
100,sporadic,storey_bh,1e-05,0.0,962.6583333333333,0.0,0.0,0.2333333333333333,665.3108364345206
