data,method,seed,alarms_per_100,fdp,far,power
Covertype,"Evidently (Z-тест, p < 0.05)",0,77.00531914893617,0.87379982040478,0.7763117520711875,0.7293413173652694
Covertype,Evidently + Бонферрони,0,64.36702127659575,0.8823237748946368,0.6552316661552624,0.5684630738522954
Covertype,"NannyML (точность, ±3σ)",0,1.8085106382978724,0.2735294117647059,0.00570727216937711,0.09860279441117764
Covertype,"driftfdr, δ = 0, без поправки",0,18.132978723404257,0.5661484306248167,0.1184412396440626,0.5904191616766467
Covertype,"driftfdr, δ = 0, Бонферрони",0,9.872340425531915,0.5167025862068966,0.05885240871432955,0.35808383233532937
Covertype,"driftfdr, δ = 0.05, без поправки",0,14.127659574468085,0.5406626506024096,0.0881251917766186,0.4870259481037924
Covertype,"driftfdr, δ = 0.05, Бонферрони",0,6.297872340425532,0.4780405405405405,0.03473458115986499,0.2467065868263473
Covertype,"Evidently (Z-тест, p < 0.05)",1,79.34042553191489,0.863100026816841,0.7902522865385796,0.8138700677560781
Covertype,Evidently + Бонферрони,1,67.27127659574468,0.8628923855459792,0.6698790743355226,0.6911119968114787
Covertype,"NannyML (точность, ±3σ)",1,0.18617021276595744,0.6571428571428571,0.001411822478669204,0.004782781984854523
Covertype,"driftfdr, δ = 0, без поправки",1,16.329787234042552,0.4231270358306189,0.07973727825179547,0.7058589079314468
Covertype,"driftfdr, δ = 0, Бонферрони",1,9.377659574468085,0.2909812819058423,0.03148977963292616,0.49820645675567954
Covertype,"driftfdr, δ = 0.05, без поправки",1,13.042553191489361,0.3637846655791191,0.05475415873795347,0.6217616580310881
Covertype,"driftfdr, δ = 0.05, Бонферрони",1,7.702127659574468,0.23895027624309392,0.021238720766067153,0.4392188122758071
