n_streams,scenario,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
500,sporadic,LORD++,1e-05,2,23293,22091,69,0,69,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,69,0.31000000000000005,683.8115942028985,555.0,1153.98
500,sporadic,LORD++,0.0001,2,23252,22377,85,0,85,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,85,0.15000000000000002,542.3294117647059,437.0,826.98
500,sporadic,LORD++,0.001,2,23206,22736,98,0,98,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,98,0.020000000000000018,393.4387755102041,334.5,421.98
500,sporadic,LORD++,0.01,2,23203,22830,99,0,99,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,99,0.010000000000000009,306.42424242424244,285.0,324.98
500,sporadic,LORD++,0.05,2,23200,22905,100,0,100,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,100,0.0,246.98,233.0,246.98
500,sporadic,LORD++,0.1,2,23179,22905,107,7,100,0.06542056074766354,0.016312056737588652,0.00030561012879284,0.14893617021276595,0.0851063829787234,0.0029787234042553193,335714.28571428574,100,100,0.0,225.98,219.0,225.98
500,sporadic,LORD++,0.2,2,23182,22923,107,7,100,0.06542056074766354,0.05930428909152313,0.0003053701522488331,0.14893617021276595,0.1276595744680851,0.0029787234042553193,335714.28571428574,100,100,0.0,210.98,203.0,210.98
500,sporadic,uncorrected,1e-05,2,23203,22811,99,0,99,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,99,0.010000000000000009,325.6161616161616,293.0,343.98
500,sporadic,uncorrected,0.0001,2,23200,22914,101,1,100,0.009900990099009901,0.02127659574468085,4.3641441913240814e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,100,100,0.0,237.98,229.5,237.98
500,sporadic,uncorrected,0.001,2,23157,22924,117,17,100,0.1452991452991453,0.17928064842958458,0.0007415808759378817,0.3617021276595745,0.2978723404255319,0.00723404255319149,138235.29411764705,100,100,0.0,184.98,185.0,184.98
500,sporadic,uncorrected,0.01,2,22875,22688,220,120,100,0.5454545454545454,0.48013912801146846,0.005289139633286318,2.5531914893617023,0.7021276595744681,0.05106382978723404,19583.333333333332,100,100,0.0,138.98,136.0,138.98
500,sporadic,uncorrected,0.05,2,22088,21931,495,395,100,0.797979797979798,0.6952487492150615,0.01801103460854498,8.404255319148936,0.9148936170212766,0.16808510638297872,5949.367088607595,100,100,0.0,118.98,116.0,118.98
500,sporadic,uncorrected,0.1,2,21177,21028,813,713,100,0.8769987699876999,0.7455684774621928,0.033907171390526916,15.170212765957446,0.9148936170212766,0.30340425531914894,3295.9326788218796,100,100,0.0,128.98,117.0,128.98
500,sporadic,uncorrected,0.2,2,19235,19099,1477,1377,100,0.9322951929587001,0.9011550663822405,0.07209801560291115,29.29787234042553,1.0,0.5859574468085106,1706.6085693536675,100,100,0.0,116.98,104.0,116.98
500,sporadic,bh_window,1e-05,2,23261,22338,81,0,81,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,81,0.18999999999999995,536.7407407407408,452.0,874.98
500,sporadic,bh_window,0.0001,2,23212,22655,96,0,96,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,96,0.040000000000000036,438.7604166666667,365.0,508.98
500,sporadic,bh_window,0.001,2,23206,22810,98,0,98,0.0,0.0,0.0,0.0,0.0,0.0,inf,100,98,0.020000000000000018,317.92857142857144,295.0,347.98
500,sporadic,bh_window,0.01,2,23197,22908,101,1,100,0.009900990099009901,0.0016366612111292963,4.365287235900122e-05,0.02127659574468085,0.02127659574468085,0.000425531914893617,2350000.0,100,100,0.0,240.98,231.5,240.98
500,sporadic,bh_window,0.05,2,23176,22925,110,10,100,0.09090909090909091,0.04078014184397163,0.0004362050163576881,0.2127659574468085,0.1276595744680851,0.00425531914893617,235000.0,100,100,0.0,202.98,197.0,202.98
500,sporadic,bh_window,0.1,2,23149,22914,117,17,100,0.1452991452991453,0.045501779544332745,0.0007419045125250938,0.3617021276595745,0.1702127659574468,0.00723404255319149,138235.29411764705,100,100,0.0,186.98,184.5,186.98
500,sporadic,bh_window,0.2,2,22966,22750,178,78,100,0.43820224719101125,0.09067323775001851,0.0034285714285714284,1.6595744680851063,0.2553191489361702,0.033191489361702124,30128.20512820513,100,100,0.0,170.98,166.5,170.98
