window,min_p,n_below,n_streams,rho,seed
11,0.006012824994869185,5,500,0.0,7
12,0.002834318434157149,3,500,0.0,7
13,0.0015162846955706633,5,500,0.0,7
14,0.0014607637167014073,5,500,0.0,7
15,0.0027237841729127006,4,500,0.0,7
16,0.0035447719414785682,6,500,0.0,7
17,0.004205987625616201,8,500,0.0,7
18,0.003338581231788681,4,500,0.0,7
19,0.004656170328733936,3,500,0.0,7
20,0.009865356963503493,1,500,0.0,7
21,0.01098214176958486,0,500,0.0,7
22,0.0029518224068203216,5,500,0.0,7
23,0.0014401565212240656,7,500,0.0,7
24,0.0005575002550206017,7,500,0.0,7
25,0.0017319582378381192,5,500,0.0,7
26,0.004046607615868868,3,500,0.0,7
27,0.005552224974637041,2,500,0.0,7
28,0.008263774559223875,1,500,0.0,7
29,0.0033152637442799026,4,500,0.0,7
30,0.0022834723909536062,4,500,0.0,7
31,0.00449013689897108,4,500,0.0,7
32,0.007262731552608201,3,500,0.0,7
33,0.006672849115938944,2,500,0.0,7
34,0.004844106671281549,3,500,0.0,7
35,0.0012362270603749827,2,500,0.0,7
36,0.00031822335168468996,2,500,0.0,7
37,0.0005144962196892464,2,500,0.0,7
38,0.0024398646843258225,5,500,0.0,7
39,0.001842336274519917,2,500,0.0,7
40,0.004040988837412983,2,500,0.0,7
41,0.005063252736773537,4,500,0.0,7
42,0.0009142689237094143,4,500,0.0,7
43,0.0006849006931683608,8,500,0.0,7
44,0.0018000595974749568,6,500,0.0,7
45,0.0022554508174824728,4,500,0.0,7
46,0.0034646260975028757,6,500,0.0,7
0,0.0029621821787061287,11,500,0.0,8
1,0.0013279934300069011,11,500,0.0,8
2,0.002306370364825934,11,500,0.0,8
3,0.0014320739725980592,8,500,0.0,8
4,0.0004345486431787832,8,500,0.0,8
5,4.933693903159806e-05,9,500,0.0,8
6,2.9579983041963078e-05,13,500,0.0,8
7,0.0002965707951949727,12,500,0.0,8
8,0.0006318898480389289,11,500,0.0,8
9,0.0009546550445737209,10,500,0.0,8
10,0.0004601281041111318,14,500,0.0,8
11,0.00033003287759351057,9,500,0.0,8
12,0.0005176281989744895,10,500,0.0,8
