window,min_p,n_below,n_streams,rho,seed
14,0.0002400397258092686,9,500,0.0,8
15,0.0013505627013122449,7,500,0.0,8
16,0.0035173103957537866,8,500,0.0,8
17,0.001351527269461515,12,500,0.0,8
18,0.0010278972696870757,9,500,0.0,8
19,0.0016440719660812714,11,500,0.0,8
20,0.0014986769923803125,6,500,0.0,8
21,0.001478145350196543,8,500,0.0,8
22,0.0020591250631877916,11,500,0.0,8
23,0.003156814786960923,7,500,0.0,8
24,0.004881985301606835,8,500,0.0,8
25,0.0011389340313849219,6,500,0.0,8
26,0.00022114596970055443,7,500,0.0,8
27,0.00011354224294277841,6,500,0.0,8
28,0.0002255545486091123,9,500,0.0,8
29,0.000387318425568823,7,500,0.0,8
30,0.00014156007048454137,4,500,0.0,8
31,0.00013751046123154049,4,500,0.0,8
32,0.00032659989566374685,7,500,0.0,8
33,0.00016239455980394526,9,500,0.0,8
34,0.0006271767224940513,8,500,0.0,8
35,0.0010262135266868048,10,500,0.0,8
36,0.00027370575975043917,6,500,0.0,8
37,0.0004242159976597792,7,500,0.0,8
38,0.001471090357686251,8,500,0.0,8
39,0.001882732079311753,6,500,0.0,8
40,0.0016334436968402717,9,500,0.0,8
41,0.0012641124858744528,8,500,0.0,8
42,0.0006956194190768688,6,500,0.0,8
43,5.571608097287179e-05,11,500,0.0,8
44,7.9158334724745e-05,4,500,0.0,8
45,0.00033508783497592225,6,500,0.0,8
46,0.001074223229873061,8,500,0.0,8
0,0.0019483410646416992,8,500,0.0,9
1,0.0008341668921254078,5,500,0.0,9
2,0.0013602718930239624,7,500,0.0,9
3,0.002680294523226783,5,500,0.0,9
4,0.0017793062714839666,5,500,0.0,9
5,0.00025439876452734754,5,500,0.0,9
6,6.79359576706391e-05,6,500,0.0,9
7,4.705461492960374e-05,7,500,0.0,9
8,9.682975176390405e-05,6,500,0.0,9
9,0.000142822551068987,8,500,0.0,9
10,0.00029715700356194554,8,500,0.0,9
11,0.000535862170370596,9,500,0.0,9
12,0.0016938843082285786,9,500,0.0,9
13,0.0006490011460794148,8,500,0.0,9
14,4.543100396249579e-05,6,500,0.0,9
15,8.840116323339083e-05,8,500,0.0,9
16,2.4674229940783544e-05,11,500,0.0,9
17,0.0006500100239662652,10,500,0.0,9
18,0.001075333191893914,9,500,0.0,9
19,0.0020154754381639566,8,500,0.0,9
20,0.0007808444068070298,8,500,0.0,9
21,0.00015586353396153312,12,500,0.0,9
22,0.0009322778016743121,11,500,0.0,9
23,0.00019301209118071668,6,500,0.0,9
24,0.00038645902684821985,6,500,0.0,9
25,0.000818840534266796,11,500,0.0,9
26,0.0003935239086003546,10,500,0.0,9
27,0.00012538033088259823,11,500,0.0,9
28,0.0002697863794071147,11,500,0.0,9
29,0.0009554202968508392,8,500,0.0,9
30,0.00041135395343972327,7,500,0.0,9
31,0.0002746956791078514,10,500,0.0,9
32,0.00016177612288706855,7,500,0.0,9
33,0.00011418120739354367,8,500,0.0,9
34,0.0004229299408451581,5,500,0.0,9
35,0.0012649886726540716,4,500,0.0,9
36,0.002281569607352847,6,500,0.0,9
37,0.001545974764849245,7,500,0.0,9
38,0.0005495356580375781,13,500,0.0,9
39,0.00017085866148097833,10,500,0.0,9
40,4.6082707039740866e-05,9,500,0.0,9
41,0.00014098786636085496,7,500,0.0,9
42,0.0012658258304367297,9,500,0.0,9
43,0.0007955343844730089,7,500,0.0,9
44,0.0003552189470926013,4,500,0.0,9
45,0.0008144466500622009,5,500,0.0,9
46,0.0015644547217852336,5,500,0.0,9
0,0.0009286695678154034,3,500,0.0,10
1,0.000255044599857153,3,500,0.0,10
2,0.00012919972626971327,3,500,0.0,10
3,0.00012943268683240276,4,500,0.0,10
4,0.0005164736797080516,9,500,0.0,10
5,0.0003406009739569654,9,500,0.0,10
6,0.00021472937302020696,8,500,0.0,10
7,0.0003977959803094655,6,500,0.0,10
8,0.0009738930676351098,10,500,0.0,10
9,0.00192436934391086,12,500,0.0,10
10,0.0018944750942672594,15,500,0.0,10
11,0.0028569172437975902,11,500,0.0,10
12,0.002318508636616357,7,500,0.0,10
13,0.0007781052312163803,5,500,0.0,10
14,0.0012616960458024012,4,500,0.0,10
15,0.0014313423493633774,8,500,0.0,10
16,0.0006253366088200852,11,500,0.0,10
17,0.0006651200834001408,7,500,0.0,10
18,0.0006263715671234466,7,500,0.0,10
19,0.0007726880363776629,8,500,0.0,10
20,0.0013493727683879287,6,500,0.0,10
21,0.0008507523576199484,3,500,0.0,10
22,0.0007619002916326584,6,500,0.0,10
23,0.00045758536003360497,7,500,0.0,10
24,0.00044696602498463136,8,500,0.0,10
25,0.00024377127357866387,13,500,0.0,10
26,0.00040816856162844204,8,500,0.0,10
27,0.0018774321847110206,7,500,0.0,10
28,0.00512666996440457,5,500,0.0,10
29,0.0019106743505920296,5,500,0.0,10
30,0.00024289927202697476,9,500,0.0,10
31,0.0001609724283721122,11,500,0.0,10
32,0.00041886547133859883,17,500,0.0,10
33,0.0007446530425092401,15,500,0.0,10
34,0.00042337631932822884,14,500,0.0,10
35,0.00017721236291054742,13,500,0.0,10
36,0.0003275000637476548,11,500,0.0,10
37,0.0005423354432406414,10,500,0.0,10
38,0.002415071556443044,10,500,0.0,10
39,0.0007987592138456164,8,500,0.0,10
40,0.0017658703843344559,7,500,0.0,10
41,0.0018216916894323793,9,500,0.0,10
42,0.0007481625745222938,7,500,0.0,10
43,0.001555190165212961,5,500,0.0,10
44,0.001360581284826841,8,500,0.0,10
45,0.0018529684421937536,7,500,0.0,10
46,0.0025699264384837915,6,500,0.0,10
0,0.0031985145976434373,2,500,0.0,11
1,0.0010794109482335239,5,500,0.0,11
2,0.0009979813013803174,7,500,0.0,11
3,0.00033600345814886485,12,500,0.0,11
4,0.00010948060420741377,15,500,0.0,11
5,0.00164386287034096,16,500,0.0,11
6,0.001170985060206782,13,500,0.0,11
7,0.001059601676376033,12,500,0.0,11
8,0.001203598975785133,11,500,0.0,11
9,0.0011975504474568298,9,500,0.0,11
10,0.0013487381359192996,10,500,0.0,11
11,0.004357463880167062,5,500,0.0,11
12,0.002829146206702545,6,500,0.0,11
13,0.0016034067359563713,8,500,0.0,11
14,0.0007761511851764329,9,500,0.0,11
15,0.00017809635998286942,13,500,0.0,11
16,4.057818916260861e-05,10,500,0.0,11
17,0.00011369528077631195,12,500,0.0,11
18,0.0002530083369627542,9,500,0.0,11
19,0.0006066740528827851,12,500,0.0,11
20,0.00030718573010146834,9,500,0.0,11
21,0.0006282944730768001,8,500,0.0,11
22,0.0007247504422582824,7,500,0.0,11
23,0.00024033260225267037,10,500,0.0,11
24,0.00016418731631944228,11,500,0.0,11
25,0.00035064580427502176,9,500,0.0,11
26,0.0014368336270118509,9,500,0.0,11
27,0.0015919342333482762,10,500,0.0,11
28,0.0001844917305628358,9,500,0.0,11
29,0.0004940753319268172,10,500,0.0,11
30,0.00034333356993491917,11,500,0.0,11
31,0.0001269113048787104,9,500,0.0,11
32,9.115557887479824e-05,10,500,0.0,11
33,0.00023859376262411864,12,500,0.0,11
34,0.0008900703595154578,10,500,0.0,11
35,0.00023272773114706006,9,500,0.0,11
36,0.00015989899592427464,13,500,0.0,11
37,0.00021451040413199434,10,500,0.0,11
38,0.0005808476649716824,7,500,0.0,11
39,0.0014140204699561447,5,500,0.0,11
40,0.0032897939141879177,8,500,0.0,11
41,0.0016570025168827216,8,500,0.0,11
42,0.0013954219181282021,12,500,0.0,11
43,0.002185607283502148,10,500,0.0,11
44,0.0008955719052219212,5,500,0.0,11
45,0.0011223830563940058,6,500,0.0,11
46,0.004271794901253732,5,500,0.0,11
0,0.0021837844422153765,4,500,0.0,12
1,0.0021485909569970985,6,500,0.0,12
2,0.0021185708286965434,10,500,0.0,12
3,0.0005773833933274281,12,500,0.0,12
