case,procedure,alpha,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,power_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift,mtr
"abrupt, Δ=0.5",bh_window,1e-05,1,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2116.9,
"abrupt, Δ=0.5",bh_window,0.0001,1,4691,4498,3,0,3,0.0,0.0,0.0,0.015544041450777202,0.0,0.0,0.0,inf,10,3,0.7,624.0,606.0,1876.9,inf
"abrupt, Δ=0.5",bh_window,0.001,1,4685,4545,5,0,5,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,inf,10,5,0.5,487.8,437.0,1346.9,inf
"abrupt, Δ=0.5",bh_window,0.01,1,4664,4613,12,3,9,0.25,0.01276595744680851,0.0006503360069369175,0.17647058823529413,0.06382978723404255,0.02127659574468085,0.006382978723404255,156666.66666666666,10,9,0.09999999999999998,345.77777777777777,355.0,456.9,407.7763496143959
"abrupt, Δ=0.5",bh_window,0.05,1,4628,4585,24,14,10,0.5833333333333334,0.07092198581560283,0.0030534351145038168,0.23255813953488372,0.2978723404255319,0.0851063829787234,0.029787234042553193,33571.42857142857,10,10,0.0,376.9,324.5,376.9,89.0725088124929
"abrupt, Δ=0.5",bh_window,0.1,1,4604,4564,32,22,10,0.6875,0.04005006257822278,0.004820333041191937,0.25,0.46808510638297873,0.0425531914893617,0.04680851063829787,21363.636363636364,10,10,0.0,346.9,311.5,346.9,61.58442307188344
"abrupt, Δ=0.5",LORD++,1e-05,1,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2116.9,
"abrupt, Δ=0.5",LORD++,0.0001,1,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2116.9,
"abrupt, Δ=0.5",LORD++,0.001,1,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2116.9,
"abrupt, Δ=0.5",LORD++,0.01,1,4700,4483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10,0,1.0,,,2116.9,
"abrupt, Δ=0.5",LORD++,0.05,1,4676,4483,9,0,9,0.0,0.0,0.0,0.046632124352331605,0.0,0.0,0.0,inf,10,9,0.09999999999999998,1923.5555555555557,1855.0,1876.9,inf
