detector,n_streams,rho,procedure,fdr,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mdr,mean_delay,degraded_per_drift,alarms,false_alarms,n_drifts,fdr_se,n_seeds
PH,100,0.3,bh_window,0.17490976765170313,0.08723404255319148,0.03829787234042553,0.008723404255319148,0.0,206.61999999999998,206.61999999999998,14.1,4.1,10.0,0.08045268936501067,10
PH,100,0.3,bonferroni,0.1149059274059274,0.03404255319148936,0.027659574468085108,0.003404255319148936,0.0,213.61999999999998,213.61999999999998,11.6,1.6,10.0,0.04466176714279844,10
PH,100,0.3,raw,0.972843535661488,7.744680851063829,0.9361702127659575,0.774468085106383,0.0,108.62,108.62,374.0,364.0,10.0,0.0010651880109502762,10
PH,100,0.3,uncorrected,0.8277910799245134,1.2765957446808511,0.49361702127659574,0.12765957446808512,0.0,135.62,135.62,70.0,60.0,10.0,0.02235235479600397,10
PH,250,0.0,LOND,0.004,0.002127659574468085,0.002127659574468085,8.510638297872341e-05,0.096,481.8571310935441,622.552,22.7,0.1,25.0,0.004,10
PH,250,0.0,LORD++,0.007692307692307693,0.00425531914893617,0.00425531914893617,0.00017021276595744682,0.008000000000000007,315.4406666666667,327.352,25.0,0.2,25.0,0.005128205128205128,10
PH,250,0.0,SAFFRON,0.04701451166968408,0.0276595744680851,0.023404255319148935,0.0011063829787234043,0.0040000000000000036,343.78566666666666,346.952,26.2,1.3,25.0,0.015752754897107032,10
PH,250,0.0,alpha-investing,0.08607280120623449,0.04680851063829787,0.036170212765957444,0.001872340425531915,0.084,521.1711652236652,593.7520000000001,25.1,2.2,25.0,0.016052072356039258,10
PH,250,0.0,bh_window,0.06898235863753105,0.04042553191489361,0.036170212765957444,0.0016170212765957447,0.0,221.752,221.752,26.9,1.9,25.0,0.013037241991593514,10
PH,250,0.0,bonferroni,0.037067562067562065,0.021276595744680847,0.021276595744680847,0.000851063829787234,0.0,238.952,238.952,26.0,1.0,25.0,0.012088266571237608,10
PH,250,0.0,raw,0.9724933624356856,18.665957446808513,1.0,0.7466382978723404,0.008000000000000007,133.90016666666668,152.152,902.1,877.3,25.0,0.00021842953072487452,10
PH,250,0.0,uncorrected,0.836297419387628,2.7361702127659577,0.8574468085106384,0.1094468085106383,0.0,127.752,127.752,153.6,128.6,25.0,0.004112421879810825,10
PH,250,0.3,LOND,0.004545454545454545,0.002127659574468085,0.002127659574468085,8.510638297872341e-05,0.072,518.5735905326558,624.552,23.3,0.1,25.0,0.004545454545454545,10
PH,250,0.3,LORD++,0.04432234432234432,0.03829787234042553,0.01276595744680851,0.0015319148936170214,0.01200000000000001,321.8595,330.552,26.5,1.8,25.0,0.040230832209613834,10
PH,250,0.3,SAFFRON,0.20413887367143144,0.46808510638297873,0.036170212765957444,0.018723404255319147,0.02400000000000001,413.5025579710144,438.552,46.4,22.0,25.0,0.08441960191102317,10
PH,250,0.3,alpha-investing,0.15322997979032463,4.23404255319149,0.05957446808510638,0.16936170212765958,0.12,685.8648550724638,862.152,221.0,199.0,25.0,0.09407107404518494,10
PH,250,0.3,bh_window,0.12292429792429793,0.18723404255319148,0.04468085106382978,0.007489361702127659,0.0040000000000000036,221.57066666666665,234.552,33.7,8.8,25.0,0.07091608438831169,10
PH,250,0.3,bonferroni,0.06272893772893773,0.04893617021276596,0.03829787234042553,0.0019574468085106385,0.0040000000000000036,238.804,251.752,27.2,2.3,25.0,0.03991087916308764,10
PH,250,0.3,raw,0.9730136260720066,19.317021276595746,0.9872340425531915,0.7726808510638298,0.008000000000000007,132.21583333333334,143.752,932.7,907.9,25.0,0.001100999264050583,10
PH,250,0.3,uncorrected,0.834978795436,3.127659574468085,0.6829787234042553,0.1251063829787234,0.0040000000000000036,137.46133333333336,149.352,171.9,147.0,25.0,0.019917053413578096,10
PH,500,0.0,LOND,0.002127659574468085,0.002127659574468085,0.002127659574468085,4.2553191489361704e-05,0.1,466.73376747212086,637.0840000000001,45.1,0.1,50.0,0.0021276595744680847,10
PH,500,0.0,LORD++,0.013651583710407238,0.014893617021276595,0.014893617021276595,0.0002978723404255319,0.016000000000000014,328.3301919235779,348.48400000000004,49.9,0.7,50.0,0.005790938828440826,10
PH,500,0.0,SAFFRON,0.05254662109553837,0.05957446808510638,0.05106382978723404,0.0011914893617021275,0.016000000000000004,364.139471162378,381.884,52.0,2.8,50.0,0.010628956325883633,10
PH,500,0.0,alpha-investing,0.05793143240202063,0.06170212765957447,0.042553191489361694,0.0012340425531914892,0.06800000000000003,792.456465288928,865.684,49.5,2.9,50.0,0.009707166126786538,10
PH,500,0.0,bh_window,0.026818492273542216,0.02978723404255319,0.02978723404255319,0.0005957446808510638,0.0020000000000000018,244.32546938775508,245.88400000000001,51.3,1.4,50.0,0.007584160346860336,10
PH,500,0.0,bonferroni,0.015388884145820883,0.01702127659574468,0.01702127659574468,0.00034042553191489364,0.0040000000000000036,275.4064081632653,280.284,50.6,0.8,50.0,0.006861678718166619,10
PH,500,0.0,raw,0.9721210153437332,37.02978723404256,1.0,0.7405957446808511,0.0,129.884,129.884,1790.3,1740.4,50.0,0.00015082410301110575,10
PH,500,0.0,uncorrected,0.8342297898371285,5.35531914893617,0.9936170212765958,0.10710638297872341,0.0020000000000000018,129.7622448979592,133.48399999999998,301.6,251.7,50.0,0.0024099170482082643,10
