kind,data,truth,detector,procedure,seed,n_tests,n_null_tests,alarms,false_alarms,true_alarms,fdp,window_fdp,far_per_test,false_alarms_per_window,p_any_false_alarm_per_window,false_alarms_per_1k_stream_steps,mtfa_stream_steps,n_drifts,detected,mdr,mean_delay,median_delay,degraded_per_drift
summary,elec2_events,injected,DDM,uncorrected,1.0,19883.0,17723.0,39.0,39.0,0.0,1.0,0.0425,0.0022005303842464593,0.0975,0.0425,0.01949415175447366,51297.4358974359,10.0,0.0,1.0,,,21602.0
summary,elec2_events,injected,DDM,bonferroni,1.0,19988.0,17828.0,4.0,4.0,0.0,1.0,0.01,0.0002243661655822302,0.01,0.01,0.001999400179946016,500150.0,10.0,0.0,1.0,,,21602.0
summary,elec2_events,injected,DDM,bh_window,1.0,19973.0,17813.0,9.0,9.0,0.0,1.0,0.0025,0.0005052489754673554,0.0225,0.0025,0.004498650404878537,222288.88888888888,10.0,0.0,1.0,,,21602.0
summary,elec2_events,injected,DDM,LORD++,1.0,20000.0,17840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.0,0.0,1.0,,,21602.0
summary,elec2_events,injected,PH,raw,2.0,10364.0,10354.0,3223.0,3213.0,10.0,0.9968973006515669,0.6836140903729913,0.3103148541626425,8.0325,0.685,1.6060181945416374,622.6579520697168,10.0,10.0,0.0,157.0,181.0,157.0
summary,elec2_events,injected,PH,uncorrected,2.0,18812.0,18200.0,396.0,389.0,7.0,0.9823232323232324,0.15725,0.021373626373626373,0.9725,0.16,0.1944416674997501,5142.93059125964,10.0,7.0,0.30000000000000004,1518.7142857142858,413.0,6110.6
summary,elec2_events,injected,PH,bonferroni,2.0,19391.0,18607.0,203.0,196.0,7.0,0.9655172413793104,0.09416666666666666,0.010533670124146827,0.49,0.095,0.0979706088173548,10207.142857142857,10.0,7.0,0.30000000000000004,3918.714285714286,3681.0,7790.6
summary,elec2_events,injected,PH,bh_window,2.0,19202.0,18256.0,266.0,261.0,5.0,0.981203007518797,0.05414772727272728,0.01429666958808063,0.6525,0.055,0.13046086174147756,7665.134099616858,10.0,5.0,0.5,2001.0,481.0,9413.0
summary,elec2_events,injected,PH,LORD++,2.0,19379.0,18658.0,207.0,199.0,8.0,0.961352657004831,0.05333333333333332,0.01066566620216529,0.4975,0.055,0.0994701589523143,10053.266331658291,10.0,8.0,0.19999999999999996,4743.0,5581.0,7159.4
summary,elec2_events,injected,DDM,raw,2.0,12853.0,12255.0,2394.0,2387.0,7.0,0.9970760233918129,0.6688576923076923,0.19477764177886578,5.9675,0.67,1.1931420573827851,838.1231671554252,10.0,7.0,0.30000000000000004,323.2857142857143,313.0,6070.6
summary,elec2_events,injected,DDM,uncorrected,2.0,19883.0,17798.0,39.0,39.0,0.0,1.0,0.0425,0.002191257444656703,0.0975,0.0425,0.01949415175447366,51297.4358974359,10.0,0.0,1.0,,,20809.0
summary,elec2_events,injected,DDM,bonferroni,2.0,19991.0,17906.0,3.0,3.0,0.0,1.0,0.0075,0.0001675416061655311,0.0075,0.0075,0.0014995501349595122,666866.6666666666,10.0,0.0,1.0,,,20809.0
summary,elec2_events,injected,DDM,bh_window,2.0,19976.0,17891.0,8.0,8.0,0.0,1.0,0.0025,0.00044715219942988095,0.02,0.0025,0.003998800359892032,250075.0,10.0,0.0,1.0,,,20809.0
summary,elec2_events,injected,DDM,LORD++,2.0,20000.0,17915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,inf,10.0,0.0,1.0,,,20809.0
